audio_mode,audio_split,checkpoint_path,checkpoint_sha256,checkpoint_step,integrated_unintended_key_state,max_target_key_state,max_unintended_key_state,mean_action_saturation,mismatched_sequence,native_reward_sum,pressed_key_f1,pressed_key_precision,pressed_key_recall,pressed_keys,sequence,sequence_group,sequence_name,shaped_return,strict_outcome,target_keys,timestep_f1,timestep_precision,timestep_recall,variant_index,wrong_press_count,wrong_pressed_keys
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.13624245300889015,1.0,1.0,0.08116883116883118,,10.344847156523526,0.5,0.5,0.5,54-58,75-76,transition,transition_75_76,-32.24982327811062,dirty_pressed_wrong_key,54-55,0.13333333333333336,0.5,0.07692307692307693,0,1,58
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.024886597320437433,0.807183563709259,0.40762683749198914,0.20779220779220772,,14.160003215154608,0.0,0.0,0.0,,75-76,transition,transition_75_76,4.290902809141189,missed,54-55,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.1619280457496643,1.0,0.8040555119514465,0.09415584415584415,76-75,12.387752599183498,0.6666666666666666,1.0,0.5,54,75-76,transition,transition_75_76,-4.896334010932584,missed,54-55,0.14285714285714288,1.0,0.07692307692307693,0,0,
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.12662784159183504,0.7812527418136597,1.0,0.09415584415584415,,11.872988154436067,0.6666666666666666,1.0,0.5,54,76-75,transition,transition_76_75,-14.656161355956074,missed,54-55,0.0,0.0,0.0,0,0,
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07016645967960358,0.0,0.807183563709259,0.20779220779220772,,13.588078800777387,0.0,0.0,0.0,,76-75,transition,transition_76_75,-7.738895439105922,missed,54-55,0.0,0.0,0.0,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_10000_steps.pt,65415ab4c42077e926a2f5991dd4445008ec2929123ba6bd65cec59c2406424d,10000,0.07547461092472077,0.0,0.8720128536224365,0.08441558441558442,72-73,9.841418961359649,0.0,0.0,0.0,53,76-75,transition,transition_76_75,-12.995382013419393,missed,54-55,0.0,0.0,0.0,0,1,53
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_25000_steps.pt,f052669e3b6e5cb008c7484e166b908a1d861cf253ca00b9f54a7e777e401819,25000,0.0,0.0,0.0,0.03787878787878788,,7.484499561844746,0.0,0.0,0.0,,72,anchor,anchor_72,-0.005242524610832334,missed,51,0.0,0.0,0.0,0,0,
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_25000_steps.pt,f052669e3b6e5cb008c7484e166b908a1d861cf253ca00b9f54a7e777e401819,25000,0.04369721561670303,0.9150108695030212,0.498213529586792,0.03787878787878788,,7.952017558637529,1.0,1.0,1.0,51,72,anchor,anchor_72,3.251059810015457,clean_high_unintended,51,0.2857142857142857,1.0,0.16666666666666666,0,0,
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_25000_steps.pt,f052669e3b6e5cb008c7484e166b908a1d861cf253ca00b9f54a7e777e401819,25000,0.08777962028980256,0.0,1.0,0.05303030303030303,73,6.66572395875632,0.0,0.0,0.0,52,72,anchor,anchor_72,-12.092124884852147,missed,51,0.0,0.0,0.0,0,1,52
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_25000_steps.pt,f052669e3b6e5cb008c7484e166b908a1d861cf253ca00b9f54a7e777e401819,25000,0.0,1.0,0.0,0.05303030303030303,,8.018493165643111,1.0,1.0,1.0,52,73,anchor,anchor_73,10.015656594224275,clean_low_unintended,52,0.2857142857142857,1.0,0.16666666666666666,0,0,
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_25000_steps.pt,f052669e3b6e5cb008c7484e166b908a1d861cf253ca00b9f54a7e777e401819,25000,0.06621726006269454,0.13362392783164978,0.9150108695030212,0.03787878787878788,,6.952968026856199,0.0,0.0,0.0,51,73,anchor,anchor_73,-9.493108833977663,missed,52,0.0,0.0,0.0,0,1,51
mismatched,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_25000_steps.pt,f052669e3b6e5cb008c7484e166b908a1d861cf253ca00b9f54a7e777e401819,25000,0.0954633355140686,0.23002757132053375,1.0,0.0984848484848485,74,5.672874092596442,0.0,0.0,0.0,53,73,anchor,anchor_73,-15.0186542864759,missed,52,0.0,0.0,0.0,0,1,53
correct,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_25000_steps.pt,f052669e3b6e5cb008c7484e166b908a1d861cf253ca00b9f54a7e777e401819,25000,0.02427314277738333,1.0,0.4512675404548645,0.0984848484848485,,7.660848293334785,1.0,1.0,1.0,53,74,anchor,anchor_74,11.752365022566895,clean_high_unintended,53,0.5,1.0,0.3333333333333333,0,0,
zero,canonical_eval,/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed61_1m/lightweight_checkpoints/checkpoint_25000_steps.pt,f052669e3b6e5cb008c7484e166b908a1d861cf253ca00b9f54a7e777e401819,25000,0.06621726006269454,0.0,0.9150108695030212,0.03787878787878788,,6.9520115909487785,0.0,0.0,0.0,51,74,anchor,anchor_74,-12.98314142341324,missed,53,0.0,0.0,0.0,0,1,51
